Datetime,Daymet-tmax:degC,Daymet-tmin:degC,Daymet-srad:W/m2,Daymet-vp:Pa,Daymet-swe:kg/m2,Daymet-prcp:mm,Daymet-dayl:s
1980-10-14,29.82,16.61,407.9,1889.43,0,0,40826.4
1980-10-15,29.35,18.83,349.42,2173.61,0,0,40733.6
1980-10-16,30.75,19.7,353.83,2294.75,0,0,40641.3
1980-10-17,31.31,19.98,355.83,2334.7,0,0,40549.6
1980-10-18,31.7,20.68,344.83,2436.84,0,0,40458.4
1980-10-19,32.26,18.84,387.93,2174.47,0,0,40367.8
1980-10-20,32.43,19.19,380.03,2222.8,0,0,40277.8
1980-10-21,32,19.72,360.26,2296.63,0,0,40188.5
1980-10-22,30.85,19.53,342.89,2270.44,0,0,40099.8
1980-10-23,32.2,20.01,263.93,2337.9,0,9.03,40011.8
1980-10-24,31.26,18.89,356.93,2181.51,0,0,39924.5
1980-10-25,29.83,18.95,329.94,2189.17,0,0,39838
1980-10-26,27.23,10.86,428.82,1300.09,0,0,39752.2
1980-10-27,29.73,12.88,421.12,1484.91,0,0,39667.2
1980-10-28,32.84,18.52,277.8,2131.59,0,6.41,39583
1980-10-29,31.83,21.18,302.38,2512.78,0,0,39499.7
1980-10-30,33.11,21.46,316.16,2557.25,0,0,39417.3
1980-10-31,29.31,20.58,263.44,2421.68,0,0,39335.8
1980-11-01,26.89,17.69,283.98,2023.37,0,0,39255.2
1980-11-02,28.36,17.48,314.51,1996.26,0,0,39175.6
1980-11-03,29.42,18.17,316.54,2084.89,0,0,39097
1980-11-04,30.52,18.66,323,2149.74,0,0,39019.4
1980-11-05,27.51,18.33,273.58,2105.53,0,0,38942.9
1980-11-06,25.06,10.05,389.82,1231.12,0,0,38867.4
1980-11-07,27.45,11,396.08,1311.66,0,0,38793.1
1980-11-08,29.31,14.55,364.26,1655.71,0,0,38720
1980-11-09,29.6,17.87,307.8,2046.15,0,0,38648
1980-11-10,26.93,21.77,112.27,2606.35,0,5.17,38577.2
1980-11-11,24.83,20.61,129.32,2426.93,0,1.68,38507.7
1980-11-12,25.8,18.42,222.7,2117.59,0,0,38439.4
1980-11-13,26.73,16.13,300.43,1831.99,0,0,38372.5
1980-11-14,27.89,17.17,222.83,1957.82,0,21.33,38306.9
1980-11-15,28.68,19.88,187.41,2319.38,0,15.63,38242.7
1980-11-16,30.12,19.54,213.41,2271.32,0,15.06,38179.8
1980-11-17,29.66,21.04,180.51,2492.25,0,10.82,38118.4
